"REF_DATE","GEO","DGUID","Beneficiary detail","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-04","Canada","2016A000011124","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549350","1.2.1.1","1630850","","","","0"
"2021-05","Canada","2016A000011124","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549350","1.2.1.1","1679140","","","","0"
"2021-06","Canada","2016A000011124","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549350","1.2.1.1","1622760","","","","0"
"2021-07","Canada","2016A000011124","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549350","1.2.1.1","1533950","","","","0"
"2021-08","Canada","2016A000011124","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549350","1.2.1.1","1468460","","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549363","2.2.1.1","54630","","","","0"
"2021-05","Newfoundland and Labrador","2016A000210","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549363","2.2.1.1","54100","","","","0"
"2021-06","Newfoundland and Labrador","2016A000210","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549363","2.2.1.1","57060","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549363","2.2.1.1","57800","","","","0"
"2021-08","Newfoundland and Labrador","2016A000210","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549363","2.2.1.1","58640","","","","0"
"2021-04","Prince Edward Island","2016A000211","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549376","3.2.1.1","12240","","","","0"
"2021-05","Prince Edward Island","2016A000211","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549376","3.2.1.1","16170","","","","0"
"2021-06","Prince Edward Island","2016A000211","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549376","3.2.1.1","19310","","","","0"
"2021-07","Prince Edward Island","2016A000211","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549376","3.2.1.1","15280","","","","0"
"2021-08","Prince Edward Island","2016A000211","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549376","3.2.1.1","16250","","","","0"
"2021-04","Nova Scotia","2016A000212","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549389","4.2.1.1","52080","","","","0"
"2021-05","Nova Scotia","2016A000212","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549389","4.2.1.1","76520","","","","0"
"2021-06","Nova Scotia","2016A000212","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549389","4.2.1.1","76940","","","","0"
"2021-07","Nova Scotia","2016A000212","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549389","4.2.1.1","65240","","","","0"
"2021-08","Nova Scotia","2016A000212","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549389","4.2.1.1","62810","","","","0"
"2021-04","New Brunswick","2016A000213","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549402","5.2.1.1","55500","","","","0"
"2021-05","New Brunswick","2016A000213","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549402","5.2.1.1","66010","","","","0"
"2021-06","New Brunswick","2016A000213","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549402","5.2.1.1","78760","","","","0"
"2021-07","New Brunswick","2016A000213","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549402","5.2.1.1","64700","","","","0"
"2021-08","New Brunswick","2016A000213","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549402","5.2.1.1","68030","","","","0"
"2021-04","Quebec","2016A000224","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549415","6.2.1.1","342440","","","","0"
"2021-05","Quebec","2016A000224","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549415","6.2.1.1","345900","","","","0"
"2021-06","Quebec","2016A000224","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549415","6.2.1.1","324790","","","","0"
"2021-07","Quebec","2016A000224","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549415","6.2.1.1","337050","","","","0"
